badge_id,name,issuer,description,criteria,alignment,employmentOutcome,skillsValidated,competency,learningOpportunity,related_badges
B03262,DevOps Engineer,Coursera,DevOps Engineer badge issued by Coursera,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'Python', 'Data Analysis']","['UI/UX', 'Machine Learning']",Data Science Bootcamp,"['B05577', 'B06908']"
B03263,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,['Data Analysis'],"['UI/UX', 'Deep Learning']",AI Professional Course,"['B04006', 'B05768']"
B03264,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Python', 'Cybersecurity']",['UI/UX'],AI Professional Course,['B03035']
B03265,AI Specialist,edX,AI Specialist badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,['DevOps'],"['Python', 'SQL']",Data Science Bootcamp,[]
B03266,Cybersecurity Professional,Udacity,Cybersecurity Professional badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,['Machine Learning'],"['Deep Learning', 'Problem Solving', 'Creativity']",Data Science Bootcamp,['B04162']
B03267,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,['Cloud Computing'],['Leadership'],Data Science Bootcamp,"['B02288', 'B03244']"
B03268,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Cloud Computing']",['Deep Learning'],Data Science Bootcamp,['B01027']
B03269,Python Certification,edX,Python Certification badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'Machine Learning']",['Cybersecurity'],Intro to Machine Learning,['B06352']
B03270,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'SQL', 'Machine Learning']","['Cybersecurity', 'Leadership']",Intro to Machine Learning,"['B09689', 'B03297']"
B03271,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'DevOps', 'Python']","['Data Analysis', 'Machine Learning', 'Teamwork']",Big Data Analysis Program,"['B06220', 'B07476']"
B03272,Machine Learning Pro,edX,Machine Learning Pro badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'Data Analysis']",['Cloud Computing'],Intro to Machine Learning,"['B00546', 'B08277']"
B03273,Cloud Computing Guru,Udacity,Cloud Computing Guru badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Python', 'Data Analysis', 'Deep Learning']","['Problem Solving', 'Teamwork', 'UI/UX']",Data Science Bootcamp,"['B03236', 'B06848']"
B03274,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,['Cybersecurity'],"['Python', 'Deep Learning', 'SQL']",Cloud Computing Course,[]
B03275,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'DevOps']","['DevOps', 'Machine Learning']",Cloud Computing Course,['B04983']
B03276,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,['Python'],"['Python', 'Teamwork', 'Cybersecurity']",Intro to Machine Learning,['B09902']
B03277,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Software Engineer roles,['Deep Learning'],"['Cloud Computing', 'Creativity']",Cloud Computing Course,['B06978']
B03278,AI Specialist,edX,AI Specialist badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,['UI/UX'],"['UI/UX', 'Teamwork', 'Cybersecurity']",AI Professional Course,[]
B03279,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['UI/UX', 'SQL', 'Python']","['Teamwork', 'Leadership']",Cloud Computing Course,"['B03923', 'B05366']"
B03280,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'Cybersecurity']","['Creativity', 'DevOps']",Data Science Bootcamp,[]
B03281,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,"['DevOps', 'Cloud Computing', 'Machine Learning']","['Creativity', 'Analytical Skills']",Cloud Computing Course,"['B08646', 'B03358']"
B03282,Cybersecurity Professional,IBM,Cybersecurity Professional badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Data Analysis', 'Machine Learning']","['Leadership', 'DevOps', 'SQL']",AI Professional Course,['B05890']
B03283,Machine Learning Pro,IBM,Machine Learning Pro badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,"['SQL', 'Cybersecurity']","['SQL', 'Creativity', 'DevOps']",Intro to Machine Learning,[]
B03284,Big Data Analyst,edX,Big Data Analyst badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Cloud Computing']","['Machine Learning', 'Problem Solving']",Big Data Analysis Program,"['B03316', 'B00923']"
B03285,Data Science Expert,Google,Data Science Expert badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,['Cloud Computing'],['Leadership'],Data Science Bootcamp,[]
B03286,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'UI/UX']","['Teamwork', 'Analytical Skills', 'Leadership']",Big Data Analysis Program,[]
B03287,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Data Analyst roles,"['Data Analysis', 'Machine Learning']","['Creativity', 'Analytical Skills', 'Teamwork']",Big Data Analysis Program,"['B08070', 'B04572']"
B03288,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Deep Learning', 'SQL']","['Teamwork', 'UI/UX', 'Creativity']",Big Data Analysis Program,"['B05842', 'B09705']"
B03289,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'Machine Learning', 'Data Analysis']",['Data Analysis'],Big Data Analysis Program,"['B01671', 'B05439']"
B03290,DevOps Engineer,edX,DevOps Engineer badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL', 'Python']","['Deep Learning', 'Creativity', 'Teamwork']",Intro to Machine Learning,['B05668']
B03291,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,['Python'],"['Creativity', 'Cloud Computing', 'Analytical Skills']",Big Data Analysis Program,['B06955']
B03292,AI Specialist,Udacity,AI Specialist badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['Data Analysis'],['Deep Learning'],Intro to Machine Learning,[]
B03293,Data Science Expert,Google,Data Science Expert badge issued by Google,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,['Cloud Computing'],"['Deep Learning', 'Problem Solving', 'Machine Learning']",Big Data Analysis Program,[]
B03294,Machine Learning Pro,IBM,Machine Learning Pro badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Cybersecurity']","['Cloud Computing', 'Teamwork', 'Data Analysis']",Data Science Bootcamp,"['B01224', 'B08243']"
B03295,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,['Python'],"['Teamwork', 'Deep Learning']",Big Data Analysis Program,"['B03152', 'B05644']"
B03296,Machine Learning Pro,edX,Machine Learning Pro badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['DevOps'],['Cloud Computing'],Intro to Machine Learning,['B08390']
B03297,Deep Learning Master,edX,Deep Learning Master badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Deep Learning', 'DevOps', 'Cloud Computing']",['Python'],Intro to Machine Learning,['B05973']
B03298,AI Specialist,Google,AI Specialist badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,['Machine Learning'],"['SQL', 'Deep Learning']",Intro to Machine Learning,[]
B03299,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,"['Deep Learning', 'UI/UX']",['Problem Solving'],Big Data Analysis Program,"['B01714', 'B00763']"
B03300,UI/UX Designer,Coursera,UI/UX Designer badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'Deep Learning']",['Machine Learning'],Big Data Analysis Program,['B03552']
B03301,Cloud Computing Guru,edX,Cloud Computing Guru badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Data Analysis', 'Machine Learning']",['SQL'],Data Science Bootcamp,"['B03863', 'B03005']"
B03302,AI Specialist,Google,AI Specialist badge issued by Google,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'UI/UX', 'Python']","['Analytical Skills', 'Cybersecurity', 'DevOps']",AI Professional Course,[]
B03303,Data Science Expert,Coursera,Data Science Expert badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL']","['Leadership', 'Deep Learning']",Data Science Bootcamp,"['B03972', 'B03629']"
B03304,Data Science Expert,Google,Data Science Expert badge issued by Google,Passing all module assessments,Professional Alignment,Eligible for Data Analyst roles,"['UI/UX', 'Cloud Computing', 'SQL']","['Creativity', 'Cybersecurity', 'SQL']",Intro to Machine Learning,[]
B03305,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'Deep Learning', 'Python']","['SQL', 'Creativity', 'Deep Learning']",Big Data Analysis Program,['B05356']
B03306,UI/UX Designer,Google,UI/UX Designer badge issued by Google,Passing all module assessments,Academic Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing', 'DevOps']","['Analytical Skills', 'Cloud Computing', 'Deep Learning']",Data Science Bootcamp,[]
B03307,Python Certification,Google,Python Certification badge issued by Google,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Cloud Architect positions,"['DevOps', 'Data Analysis']",['Machine Learning'],Intro to Machine Learning,"['B04013', 'B00881']"
B03308,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['Data Analysis', 'Machine Learning']",['UI/UX'],Cloud Computing Course,[]
B03309,Big Data Analyst,IBM,Big Data Analyst badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,['DevOps'],"['Cloud Computing', 'Data Analysis']",AI Professional Course,[]
B03310,Python Certification,IBM,Python Certification badge issued by IBM,Passing all module assessments,Industry Standard Alignment,Eligible for Data Analyst roles,"['Cybersecurity', 'SQL']",['Data Analysis'],Data Science Bootcamp,[]
B03311,Data Science Expert,Coursera,Data Science Expert badge issued by Coursera,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,['Cloud Computing'],['Data Analysis'],Data Science Bootcamp,['B01908']
B03312,Big Data Analyst,Coursera,Big Data Analyst badge issued by Coursera,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['Python'],['Cybersecurity'],Data Science Bootcamp,"['B08606', 'B02956']"
B03313,Big Data Analyst,IBM,Big Data Analyst badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['SQL', 'Cloud Computing']",['Problem Solving'],AI Professional Course,[]
B03314,Cybersecurity Professional,edX,Cybersecurity Professional badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Software Engineer roles,"['DevOps', 'UI/UX', 'Cloud Computing']","['Cybersecurity', 'Python', 'Deep Learning']",Data Science Bootcamp,"['B01363', 'B00599']"
B03315,Data Science Expert,edX,Data Science Expert badge issued by edX,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,"['DevOps', 'SQL']","['Teamwork', 'Data Analysis', 'Python']",Data Science Bootcamp,[]
B03316,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'Python', 'Data Analysis']","['Cloud Computing', 'Cybersecurity']",AI Professional Course,['B03402']
B03317,DevOps Engineer,edX,DevOps Engineer badge issued by edX,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Deep Learning', 'Data Analysis']","['UI/UX', 'Deep Learning', 'Creativity']",Cloud Computing Course,['B02703']
B03318,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,['SQL'],['Teamwork'],Cloud Computing Course,"['B02188', 'B01250']"
B03319,Machine Learning Pro,Google,Machine Learning Pro badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,['Python'],"['Leadership', 'Cloud Computing', 'Teamwork']",Cloud Computing Course,"['B07151', 'B00171']"
B03320,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['Data Analysis', 'DevOps']","['Cloud Computing', 'Creativity', 'Machine Learning']",Intro to Machine Learning,[]
B03321,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,['Deep Learning'],"['Leadership', 'Creativity', 'Analytical Skills']",Big Data Analysis Program,['B04097']
B03322,Python Certification,IBM,Python Certification badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing', 'SQL']","['Creativity', 'Python']",Cloud Computing Course,['B06351']
B03323,Python Certification,edX,Python Certification badge issued by edX,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,['UI/UX'],"['SQL', 'UI/UX', 'Creativity']",Data Science Bootcamp,['B03887']
B03324,Data Science Expert,Coursera,Data Science Expert badge issued by Coursera,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,['DevOps'],"['Python', 'Machine Learning']",Data Science Bootcamp,"['B03962', 'B09190']"
B03325,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL', 'Python']","['Deep Learning', 'DevOps']",Data Science Bootcamp,[]
B03326,Machine Learning Pro,IBM,Machine Learning Pro badge issued by IBM,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Software Engineer roles,['Deep Learning'],['Teamwork'],Data Science Bootcamp,"['B01778', 'B09463']"
B03327,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing', 'DevOps']","['Machine Learning', 'Teamwork']",Intro to Machine Learning,['B05430']
B03328,DevOps Engineer,IBM,DevOps Engineer badge issued by IBM,Passing all module assessments,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'Data Analysis', 'Machine Learning']","['Problem Solving', 'Cybersecurity']",Intro to Machine Learning,['B09438']
B03329,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL']",['Teamwork'],Intro to Machine Learning,['B03417']
B03330,Data Science Expert,edX,Data Science Expert badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Python', 'Cloud Computing']","['Machine Learning', 'Leadership']",AI Professional Course,"['B01759', 'B00097']"
B03331,Deep Learning Master,Google,Deep Learning Master badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['UI/UX', 'Data Analysis', 'Cybersecurity']",['DevOps'],Cloud Computing Course,['B01577']
B03332,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'SQL', 'Python']","['DevOps', 'Teamwork', 'Analytical Skills']",Cloud Computing Course,"['B02309', 'B05492']"
B03333,Deep Learning Master,Google,Deep Learning Master badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['DevOps', 'SQL', 'Cloud Computing']",['Python'],AI Professional Course,[]
B03334,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL']","['Cybersecurity', 'DevOps']",Intro to Machine Learning,"['B05310', 'B06968']"
B03335,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,['Machine Learning'],"['Machine Learning', 'Cloud Computing', 'Leadership']",Cloud Computing Course,"['B05354', 'B00129']"
B03336,Machine Learning Pro,Coursera,Machine Learning Pro badge issued by Coursera,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'SQL', 'Data Analysis']",['Python'],Data Science Bootcamp,['B07739']
B03337,Python Certification,Google,Python Certification badge issued by Google,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,['Deep Learning'],"['Python', 'SQL']",Data Science Bootcamp,['B06713']
B03338,UI/UX Designer,Google,UI/UX Designer badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'DevOps']",['Leadership'],AI Professional Course,['B02985']
B03339,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Machine Learning Engineer positions,"['UI/UX', 'Cybersecurity', 'Python']","['Teamwork', 'Problem Solving', 'UI/UX']",Data Science Bootcamp,"['B04077', 'B00840']"
B03340,Python Certification,Coursera,Python Certification badge issued by Coursera,Passing all module assessments,Professional Alignment,Eligible for Cloud Architect positions,"['Deep Learning', 'Data Analysis']",['Data Analysis'],Cloud Computing Course,"['B07153', 'B06511']"
B03341,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Software Engineer roles,"['Cloud Computing', 'Python']",['Leadership'],Big Data Analysis Program,[]
B03342,Cybersecurity Professional,Udacity,Cybersecurity Professional badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['DevOps', 'Python', 'Deep Learning']","['Leadership', 'Python']",Intro to Machine Learning,"['B08347', 'B04416']"
B03343,DevOps Engineer,Coursera,DevOps Engineer badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,['UI/UX'],['DevOps'],Cloud Computing Course,[]
B03344,Cybersecurity Professional,edX,Cybersecurity Professional badge issued by edX,Passing all module assessments,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Deep Learning']","['Creativity', 'Analytical Skills']",Cloud Computing Course,"['B07882', 'B08066']"
B03345,AI Specialist,edX,AI Specialist badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,['SQL'],"['Creativity', 'Deep Learning', 'Analytical Skills']",Big Data Analysis Program,[]
B03346,Cybersecurity Professional,edX,Cybersecurity Professional badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Cloud Architect positions,"['Data Analysis', 'Python']","['Analytical Skills', 'UI/UX']",Intro to Machine Learning,"['B05275', 'B03129']"
B03347,DevOps Engineer,Google,DevOps Engineer badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Deep Learning']","['DevOps', 'Data Analysis', 'Leadership']",Cloud Computing Course,[]
B03348,UI/UX Designer,Udacity,UI/UX Designer badge issued by Udacity,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,['Cybersecurity'],"['UI/UX', 'Cloud Computing', 'Cybersecurity']",Data Science Bootcamp,[]
B03349,Python Certification,Coursera,Python Certification badge issued by Coursera,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'Machine Learning', 'DevOps']","['Cloud Computing', 'Creativity']",Big Data Analysis Program,['B08454']
B03350,Big Data Analyst,Udacity,Big Data Analyst badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'DevOps', 'Machine Learning']","['SQL', 'Python', 'Teamwork']",Data Science Bootcamp,['B02264']
B03351,Cloud Computing Guru,Google,Cloud Computing Guru badge issued by Google,Passing all module assessments,Industry Standard Alignment,Eligible for Cloud Architect positions,"['Cloud Computing', 'Deep Learning', 'Python']","['Leadership', 'SQL']",Intro to Machine Learning,[]
B03352,Big Data Analyst,Udacity,Big Data Analyst badge issued by Udacity,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'Data Analysis', 'SQL']",['SQL'],AI Professional Course,['B00392']
B03353,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Data Analyst roles,"['SQL', 'Deep Learning']","['SQL', 'Creativity', 'Deep Learning']",AI Professional Course,['B06203']
B03354,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Data Analyst roles,"['Python', 'Cloud Computing']","['DevOps', 'Cloud Computing']",AI Professional Course,['B05713']
B03355,DevOps Engineer,Udacity,DevOps Engineer badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Software Engineer roles,"['SQL', 'Cybersecurity', 'UI/UX']",['Creativity'],Cloud Computing Course,[]
B03356,Cybersecurity Professional,Google,Cybersecurity Professional badge issued by Google,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Python', 'Cloud Computing']","['Analytical Skills', 'Leadership']",Intro to Machine Learning,"['B03075', 'B01561']"
B03357,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'DevOps']","['Cloud Computing', 'Python', 'SQL']",Cloud Computing Course,['B02742']
B03358,Big Data Analyst,Google,Big Data Analyst badge issued by Google,Completion of 40 hours of lectures and project submission,Industry Standard Alignment,Eligible for Data Analyst roles,['Machine Learning'],"['Machine Learning', 'Leadership', 'DevOps']",Big Data Analysis Program,"['B06974', 'B05413']"
B03359,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Cloud Computing']",['Data Analysis'],Big Data Analysis Program,[]
B03360,UI/UX Designer,edX,UI/UX Designer badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Software Engineer roles,"['Deep Learning', 'Data Analysis']","['Python', 'Data Analysis', 'Creativity']",AI Professional Course,"['B09440', 'B01285']"
B03361,DevOps Engineer,Coursera,DevOps Engineer badge issued by Coursera,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Data Analyst roles,"['Python', 'Machine Learning']","['SQL', 'Creativity']",Big Data Analysis Program,[]
B03362,Cybersecurity Professional,Coursera,Cybersecurity Professional badge issued by Coursera,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Cloud Architect positions,['Deep Learning'],"['Python', 'Creativity']",Data Science Bootcamp,['B05501']
B03363,Machine Learning Pro,Google,Machine Learning Pro badge issued by Google,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Cloud Architect positions,"['Machine Learning', 'SQL']","['Teamwork', 'Machine Learning']",Big Data Analysis Program,"['B08284', 'B02025']"
B03364,Data Science Expert,edX,Data Science Expert badge issued by edX,Completion of 40 hours of lectures and project submission,Professional Alignment,Eligible for Machine Learning Engineer positions,"['Cybersecurity', 'Deep Learning']","['Leadership', 'Teamwork', 'Cloud Computing']",Data Science Bootcamp,['B08609']
B03365,Data Science Expert,Udacity,Data Science Expert badge issued by Udacity,Passing all module assessments,Professional Alignment,Eligible for Software Engineer roles,"['Machine Learning', 'Deep Learning']","['Cybersecurity', 'Data Analysis', 'Python']",Intro to Machine Learning,"['B02523', 'B09047']"
B03366,AI Specialist,Udacity,AI Specialist badge issued by Udacity,Completion of hands-on project and final evaluation,Professional Alignment,Eligible for Cloud Architect positions,"['SQL', 'Cloud Computing', 'Data Analysis']",['Cloud Computing'],Data Science Bootcamp,['B06887']
B03367,Deep Learning Master,IBM,Deep Learning Master badge issued by IBM,Completion of hands-on project and final evaluation,Academic Alignment,Eligible for Data Analyst roles,"['Machine Learning', 'Data Analysis']","['Data Analysis', 'SQL']",Data Science Bootcamp,[]
B03368,Data Science Expert,IBM,Data Science Expert badge issued by IBM,Completion of hands-on project and final evaluation,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Cloud Computing', 'Cybersecurity', 'DevOps']","['Analytical Skills', 'Cybersecurity']",Cloud Computing Course,['B05714']
B03369,Python Certification,edX,Python Certification badge issued by edX,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['Data Analysis', 'Deep Learning', 'Machine Learning']",['DevOps'],Data Science Bootcamp,['B09438']
B03370,Python Certification,IBM,Python Certification badge issued by IBM,Passing all module assessments,Academic Alignment,Eligible for Cloud Architect positions,['Deep Learning'],"['Cybersecurity', 'Analytical Skills', 'Leadership']",Cloud Computing Course,[]
B03371,Deep Learning Master,Udacity,Deep Learning Master badge issued by Udacity,Completion of 40 hours of lectures and project submission,Academic Alignment,Eligible for Machine Learning Engineer positions,"['SQL', 'Machine Learning']","['Cybersecurity', 'Analytical Skills', 'Python']",Big Data Analysis Program,"['B04127', 'B02376']"
B03372,UI/UX Designer,IBM,UI/UX Designer badge issued by IBM,Passing all module assessments,Industry Standard Alignment,Eligible for Machine Learning Engineer positions,"['Machine Learning', 'Cybersecurity', 'Cloud Computing']","['Analytical Skills', 'Cybersecurity']",Intro to Machine Learning,[]
